entry,Group,PLOT,PLANT,Longitude,Latitude,d15N_T1,NDFA_T1_B73xMo17_ref,NDFA_T1_B73_ref,d15N_T2,NDFA_T2_B73xMo17_ref,NDFA_T2_B73_ref,HEIGHT_in,HEIGHT_cm,NODES,NODES_w_BR,NODES_w_AR,NODES_w_BRandAR,DAYS_TO_TASSEL,DAYS_TO_POLLEN,COBS,SILKS
B73xMo17,Modern,1A,1.1,1.00,1.00,6.78,NA,-1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.00,81.00,2.00,2.00
B73xMo17,Modern,1A,1.2,2.00,1.00,8.38,NA,-25.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.00,74.00,2.00,1.00
B73xMo17,Modern,1A,1.3,3.00,1.00,9.29,NA,-38.76,NA,NA,NA,65.25,165.74,12.00,2.00,1.00,3.00,74.00,74.00,1.00,1.00
B73xMo17,Modern,1A,1.4,4.00,1.00,10.51,NA,-57.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.00,74.00,1.00,1.00
B73xMo17,Modern,1A,1.5,5.00,1.00,13.69,NA,-104.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.00,81.00,1.00,1.00
B73xMo17,Modern,1A,1.6,6.00,1.00,12.21,NA,-82.42,NA,NA,NA,60.50,153.67,12.00,2.00,2.00,4.00,74.00,74.00,1.00,1.00
B73xMo17,Modern,1A,1.7,7.00,1.00,10.93,NA,-63.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.00,74.00,2.00,2.00
B73xMo17,Modern,1A,2.1,1.00,2.00,6.10,NA,8.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.00,81.00,2.00,2.00
B73xMo17,Modern,1A,2.2,2.00,2.00,8.67,NA,-29.53,NA,NA,NA,76.50,194.31,13.00,2.00,2.00,4.00,74.00,81.00,2.00,2.00
B73xMo17,Modern,1A,2.3,3.00,2.00,8.58,NA,-28.15,NA,NA,NA,62.00,157.48,11.00,2.00,1.00,3.00,67.00,74.00,1.00,1.00
B73xMo17,Modern,1A,2.4,4.00,2.00,9.82,NA,-46.65,NA,NA,NA,72.50,184.15,14.00,2.00,2.00,4.00,74.00,74.00,1.00,1.00
B73xMo17,Modern,1A,2.5,5.00,2.00,11.33,NA,-69.28,NA,NA,NA,70.50,179.07,13.00,2.00,0.00,2.00,81.00,81.00,1.00,1.00
B73xMo17,Modern,1A,2.6,6.00,2.00,9.70,NA,-44.92,NA,NA,NA,68.00,172.72,13.00,2.00,1.00,3.00,74.00,81.00,2.00,2.00
B73xMo17,Modern,1A,2.7,7.00,2.00,12.60,NA,-88.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.00,81.00,2.00,2.00
B73xMo17,Modern,1A,3.1,1.00,3.00,9.99,NA,-49.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.00,74.00,2.00,1.00
B73xMo17,Modern,1A,3.2,2.00,3.00,9.08,NA,-35.59,NA,NA,NA,76.00,193.04,14.00,2.00,1.00,3.00,74.00,81.00,1.00,1.00
B73xMo17,Modern,1A,3.3,3.00,3.00,10.39,NA,-55.24,NA,NA,NA,83.50,212.09,15.00,2.00,1.00,3.00,74.00,81.00,2.00,2.00
B73xMo17,Modern,1A,3.4,4.00,3.00,11.38,NA,-70.06,NA,NA,NA,70.50,179.07,12.00,1.00,1.00,2.00,74.00,81.00,1.00,1.00
B73xMo17,Modern,1A,3.5,5.00,3.00,15.02,NA,-124.37,NA,NA,NA,67.25,170.82,12.00,2.00,1.00,3.00,74.00,81.00,1.00,1.00
B73xMo17,Modern,1A,3.6,6.00,3.00,10.42,NA,-55.61,NA,NA,NA,66.00,167.64,12.00,2.00,2.00,4.00,67.00,74.00,2.00,2.00
B73xMo17,Modern,1A,3.7,7.00,3.00,10.36,NA,-54.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.00,81.00,1.00,1.00
B73xMo17,Modern,1A,4.1,1.00,4.00,9.84,NA,-46.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.00,81.00,1.00,1.00
