GROUP,PLOT,PLANT,Longitude,Latitude,d15N_T1,NDFA_T1_B73xMo17-ref,NDFA_T1_B73-ref,d15N_T2,NDFA_T2_B73xMo17-ref,NDFA_T2_B73-ref,HEIGHT_in,NODES,NODES_w_BR,NODES_w_AR,NODES_w_BRandAR,DAYS_TO_TASSEL,DAYS_TO_POLLEN,COBS,SILKS
B73xMo17,1A,1.1,1.00,1.00,6.78,,-1.24,,,,,,,,,74.00,81.00,2.00,2.00
B73xMo17,1A,1.2,2.00,1.00,8.38,,-25.18,,,,,,,,,67.00,74.00,2.00,1.00
B73xMo17,1A,1.3,3.00,1.00,9.29,,-38.76,,,,65.25,12.00,2.00,1.00,3.00,74.00,74.00,1.00,1.00
B73xMo17,1A,1.4,4.00,1.00,10.51,,-57.03,,,,,,,,,74.00,74.00,1.00,1.00
B73xMo17,1A,1.5,5.00,1.00,13.69,,-104.48,,,,,,,,,74.00,81.00,1.00,1.00
B73xMo17,1A,1.6,6.00,1.00,12.21,,-82.42,,,,60.50,12.00,2.00,2.00,4.00,74.00,74.00,1.00,1.00
B73xMo17,1A,1.7,7.00,1.00,10.93,,-63.31,,,,,,,,,67.00,74.00,2.00,2.00
B73xMo17,1A,2.1,1.00,2.00,6.10,,8.81,,,,,,,,,74.00,81.00,2.00,2.00
B73xMo17,1A,2.2,2.00,2.00,8.67,,-29.53,,,,76.50,13.00,2.00,2.00,4.00,74.00,81.00,2.00,2.00
B73xMo17,1A,2.3,3.00,2.00,8.58,,-28.15,,,,62.00,11.00,2.00,1.00,3.00,67.00,74.00,1.00,1.00
B73xMo17,1A,2.4,4.00,2.00,9.82,,-46.65,,,,72.50,14.00,2.00,2.00,4.00,74.00,74.00,1.00,1.00
B73xMo17,1A,2.5,5.00,2.00,11.33,,-69.28,,,,70.50,13.00,2.00,0.00,2.00,81.00,81.00,1.00,1.00
B73xMo17,1A,2.6,6.00,2.00,9.70,,-44.92,,,,68.00,13.00,2.00,1.00,3.00,74.00,81.00,2.00,2.00
B73xMo17,1A,2.7,7.00,2.00,12.60,,-88.28,,,,,,,,,81.00,81.00,2.00,2.00
B73xMo17,1A,3.1,1.00,3.00,9.99,,-49.31,,,,,,,,,74.00,74.00,2.00,1.00
B73xMo17,1A,3.2,2.00,3.00,9.08,,-35.59,,,,76.00,14.00,2.00,1.00,3.00,74.00,81.00,1.00,1.00
B73xMo17,1A,3.3,3.00,3.00,10.39,,-55.24,,,,83.50,15.00,2.00,1.00,3.00,74.00,81.00,2.00,2.00
B73xMo17,1A,3.4,4.00,3.00,11.38,,-70.06,,,,70.50,12.00,1.00,1.00,2.00,74.00,81.00,1.00,1.00
B73xMo17,1A,3.5,5.00,3.00,15.02,,-124.37,,,,67.25,12.00,2.00,1.00,3.00,74.00,81.00,1.00,1.00
B73xMo17,1A,3.6,6.00,3.00,10.42,,-55.61,,,,66.00,12.00,2.00,2.00,4.00,67.00,74.00,2.00,2.00
B73xMo17,1A,3.7,7.00,3.00,10.36,,-54.75,,,,,,,,,74.00,81.00,1.00,1.00
B73xMo17,1A,4.1,1.00,4.00,9.84,,-46.98,,,,,,,,,74.00,81.00,1.00,1.00
B73xMo17,1A,4.2,2.00,4.00,9.82,,-46.78,,,,77.50,13.00,0.00,0.00,0.00,81.00,81.00,2.00,2.00
B73xMo17,1A,4.3,3.00,4.00,10.00,,-49.35,,,,70.25,13.00,2.00,1.00,3.00,74.00,81.00,2.00,2.00
B73xMo17,1A,4.4,4.00,4.00,9.66,,-44.26,,,,,,,,,74.00,81.00,1.00,1.00
B73xMo17,1A,4.5,5.00,4.00,11.12,,-66.12,,,,,,,,,74.00,74.00,1.00,1.00
B73xMo17,1A,4.6,6.00,4.00,10.94,,-63.45,,,,65.75,12.00,2.00,2.00,4.00,74.00,81.00,1.00,1.00
B73xMo17,1A,4.7,7.00,4.00,12.79,,-91.12,,,,,,,,,,,,
B73,1B,1.1,1.00,5.00,8.57,-69.80,-28.01,,,,,,,,,74.00,81.00,1.00,1.00
B73,1B,1.2,2.00,5.00,7.51,-48.84,-12.21,,,,,,,,,74.00,81.00,1.00,1.00
B73,1B,1.3,3.00,5.00,10.88,-115.58,-62.53,,,,39.25,11.00,2.00,2.00,4.00,74.00,81.00,1.00,1.00
B73,1B,1.4,4.00,5.00,8.39,-66.24,-25.32,,,,,,,,,74.00,81.00,1.00,1.00
B73,1B,1.5,5.00,5.00,10.54,-108.81,-57.42,,,,,,,,,81.00,88.00,1.00,1.00
B73,1B,1.6,6.00,5.00,7.17,-42.18,-7.19,,,,41.50,11.00,2.00,2.00,4.00,74.00,81.00,2.00,2.00
B73,1B,1.7,7.00,5.00,6.34,-25.57,5.33,,,,,,,,,74.00,74.00,1.00,1.00
B73,1B,2.1,1.00,6.00,8.17,-61.91,-22.06,,,,,,,,,74.00,74.00,1.00,1.00
B73,1B,2.2,2.00,6.00,7.26,-43.83,-8.43,,,,44.75,11.00,2.00,2.00,4.00,74.00,81.00,1.00,1.00
B73,1B,2.3,3.00,6.00,8.41,-66.62,-25.62,,,,59.00,14.00,3.00,2.00,5.00,74.00,88.00,2.00,2.00
B73,1B,2.4,4.00,6.00,7.73,-53.25,-15.54,,,,49.75,12.00,3.00,1.00,4.00,74.00,81.00,1.00,1.00
B73,1B,2.5,5.00,6.00,7.50,-48.66,-12.08,,,,58.25,14.00,3.00,2.00,5.00,81.00,88.00,1.00,1.00
B73,1B,2.6,6.00,6.00,7.36,-45.89,-9.99,,,,58.50,14.00,3.00,2.00,5.00,74.00,81.00,2.00,2.00
B73,1B,2.7,7.00,6.00,6.29,-24.72,5.97,,,,,,,,,81.00,81.00,2.00,2.00
B73,1B,3.1,1.00,7.00,5.05,0.01,24.62,,,,,,,,,81.00,88.00,1.00,1.00
B73,1B,3.2,2.00,7.00,7.23,-43.18,-7.94,,,,37.25,12.00,3.00,2.00,5.00,81.00,95.00,1.00,1.00
B73,1B,3.3,3.00,7.00,5.90,-16.83,11.92,,,,48.25,12.00,3.00,2.00,5.00,74.00,88.00,1.00,1.00
B73,1B,3.4,4.00,7.00,5.54,-9.73,17.28,,,,44.25,11.00,2.00,2.00,4.00,74.00,81.00,1.00,1.00
B73,1B,3.5,5.00,7.00,6.57,-30.15,1.88,,,,47.25,12.00,3.00,2.00,5.00,74.00,81.00,1.00,1.00
B73,1B,3.6,6.00,7.00,,,,,,,,,,,,,,,
B73,1B,3.7,7.00,7.00,6.89,-36.52,-2.92,,,,53.50,13.00,2.00,1.00,3.00,81.00,88.00,1.00,1.00
